"Sales summary - Summary
Reporting day (6:00 AM-5:59 AM ET)"," "
"Gross sales","$24,280.44"
"Items","$23,897.84"
"Service charges","$382.60"
"Event Gratuity","$337.88"
"Auto gratuity","$44.72"
"Returns","($68.98)"
"Discounts & comps","($12.20)"
"Discounts","($12.20)"
"Comps","$0.00"
"Net sales","$24,199.26"
"Deferred sales","$5,973.92"
"Gift card sales","$5,973.92"
"Taxes","$502.59"
"Tips","$907.47"
"Refunds by amount","($277.58)"
"Total sales","$31,305.66"
"Total payments collected","$31,305.66"
"Card","$14,166.04"
"Cash","$1,475.77"
"Gift card redeemed","$9,961.22"
"Other","$5,702.63"
"Fees","($438.64)"
"Square payment processing fees","($436.76)"
"Square fees","($436.76)"
"Gift card load fees","($1.88)"
"Net total","$30,867.02"
"Total number of sales","494"
"Sales transactions","409"
"Item sales transactions","406"
"Service charges transactions","3"
"Itemized returns transactions","3"
"Discounts transactions","4"
"Comps transactions","0"
"Gift card sales transactions","58"
"Taxes transactions","278"
"Tips transactions","146"
"Total sales transactions","464"
"Total payments collected transactions","471"

